variavel: 03.Indústrias de transformação
caminho: /Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/03.Indústrias de transformação
fonte: Relação Anual de Informações Sociais
agrupador: Município
descricao: 
Município;ibge;latitude;longitude;"2018 (-)"
"Bom Jesus";4302303;-28,669699999990;-50,429499999990;277
"Bom Princípio";4302352;-29,485600000000;-51,354799999990;2.739
"Bom Progresso";4302378;-27,539899999990;-53,871600000000;24
"Bom Retiro do Sul";4302402;-29,608599999990;-51,946399999990;1.881
"Boqueirão do Leão";4302451;-29,304600000000;-52,428400000000;39
Bossoroca;4302501;-28,729099999990;-54,903500000000;0
Bozano;4302584;-28,367460000000;-53,772239999990;5
Braga;4302600;-27,617300000000;-53,740499999990;18
Brochier;4302659;-29,550100000000;-51,594499999990;271
Butiá;4302709;-30,117899999990;-51,960099999990;107
"Caçapava do Sul";4302808;-30,514399999990;-53,482700000000;823
Cacequi;4302907;-29,888300000000;-54,822000000000;7
"Cachoeira do Sul";4303004;-30,033000000000;-52,892800000000;2.012
Cachoeirinha;4303103;-29,947199999990;-51,101599999990;9.117
"Cacique Doble";4303202;-27,766999999990;-51,659700000000;41
Caibaté;4303301;-28,290500000000;-54,645400000000;16
Caiçara;4303400;-27,279100000000;-53,425699999990;6
Camaquã;4303509;-30,848900000000;-51,804299999990;2.044
Camargo;4303558;-28,588000000000;-52,200299999990;262
"Cambará do Sul";4303608;-29,047400000000;-50,146500000000;641
"Campestre da Serra";4303673;-28,792600000000;-51,094099999990;118
"Campina das Missões";4303707;-27,988800000000;-54,841700000000;65
"Campinas do Sul";4303806;-27,717400000000;-52,624800000000;114
"Campo Bom";4303905;-29,674700000000;-51,060600000000;10.555
"Campo Novo";4304002;-27,679200000000;-53,805199999990;115
"Campos Borges";4304101;-28,887100000000;-53,000799999990;59
Candelária;4304200;-29,668399999990;-52,789499999990;2.110
"Cândido Godói";4304309;-27,951499999990;-54,751700000000;366
Candiota;4304358;-31,551500000000;-53,677300000000;188
Canela;4304408;-29,356000000000;-50,811900000000;1.392
Canguçu;4304507;-31,396000000000;-52,678199999990;219
Canoas;4304606;-29,912800000000;-51,185699999990;11.671
"Canudos do Vale";4304614;-29,318700000000;-52,234499999990;30
"Capão Bonito do Sul";4304622;-29,764199999990;-50,028199999990;38
"Capão da Canoa";4304630;-29,639700000000;-49,959899999990;368
"Capão do Cipó";4304655;-28,904000000000;-54,700000000000;1
"Capão do Leão";4304663;-31,756499999990;-52,488900000000;628
"Capela de Santana";4304689;-29,696100000000;-51,328000000000;529
Capitão;4304697;-29,267399999990;-51,985300000000;216
"Capivari do Sul";4304671;-30,138200000000;-50,515099999990;169
Caraá;4304713;-29,786899999990;-50,431600000000;736
Carazinho;4304705;-28,295800000000;-52,793300000000;1.889
"Carlos Barbosa";4304804;-29,296900000000;-51,502899999990;6.815
"Carlos Gomes";4304853;-27,716699999990;-51,912100000000;12
Casca;4304903;-28,560500000000;-51,981499999990;636
Caseiros;4304952;-28,258199999990;-51,686100000000;54
Catuípe;4305009;-28,255400000000;-54,013199999990;72
"Caxias do Sul";4305108;-29,162900000000;-51,179200000000;62.911
Centenário;4305116;-27,761600000000;-51,998399999990;1
Cerrito;4305124;-31,841899999990;-52,800400000000;19
"Cerro Branco";4305132;-29,657000000000;-52,940600000000;13
"Cerro Grande";4305157;-27,610600000000;-53,167200000000;1
"Cerro Grande do Sul";4305173;-30,590499999990;-51,741799999990;159
"Cerro Largo";4305207;-28,146200000000;-54,742800000000;470
Chapada;4305306;-28,055900000000;-53,066499999990;624
Charqueadas;4305355;-29,962500000000;-51,628900000000;2.042
Charrua;4305371;-27,949300000000;-52,015000000000;1
Chiapetta;4305405;-27,922999999990;-53,941899999990;9
Chuí;4305439;-33,686599999990;-53,459400000000;6
Chuvisca;4305447;-30,750399999990;-51,973700000000;29
Cidreira;4305454;-30,160399999990;-50,233800000000;33
Ciríaco;4305504;-28,341899999990;-51,874099999990;52
Colinas;4305587;-29,381499999990;-51,852600000000;168
Colorado;4305603;-28,525800000000;-52,992800000000;60
Condor;4305702;-28,207500000000;-53,490499999990;452
