variavel: 18.Artes, cultura, esporte e recreação
caminho: /Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/18.Artes, cultura, esporte e recreação
fonte: Relação Anual de Informações Sociais
agrupador: Município
descricao: 
Município;ibge;latitude;longitude;"2018 (-)"
"Gramado Xavier";4309159;-29,270600000000;-52,579500000000;0
Gravataí;4309209;-29,941299999990;-50,986899999990;134
Guabiju;4309258;-28,542100000000;-51,694800000000;0
Guaíba;4309308;-30,108599999990;-51,323300000000;31
Guaporé;4309407;-28,839900000000;-51,889499999990;23
"Guarani das Missões";4309506;-28,149100000000;-54,562899999990;2
Harmonia;4309555;-29,545600000000;-51,418500000000;0
Herval;4307104;-32,024000000000;-53,394399999990;0
Herveiras;4309571;-29,455200000000;-52,655299999990;0
Horizontina;4309605;-27,628200000000;-54,305300000000;11
"Hulha Negra";4309654;-31,406700000000;-53,866700000000;0
Humaitá;4309704;-27,569099999990;-53,969499999990;0
Ibarama;4309753;-29,420300000000;-53,129500000000;0
Ibiaçá;4309803;-28,056600000000;-51,859900000000;0
Ibiraiaras;4309902;-28,374099999990;-51,637700000000;3
Ibirapuitã;4309951;-28,624700000000;-52,515799999990;0
Ibirubá;4310009;-28,630199999990;-53,096100000000;7
Igrejinha;4310108;-29,569299999990;-50,791899999990;70
Ijuí;4310207;-28,388100000000;-53,920000000000;145
Ilópolis;4310306;-28,928200000000;-52,125799999990;1
Imbé;4310330;-29,975300000000;-50,128100000000;7
Imigrante;4310363;-29,350800000000;-51,774700000000;1
Independência;4310405;-27,835400000000;-54,188600000000;0
Inhacorá;4310413;-27,875200000000;-54,015000000000;0
Ipê;4310439;-28,817100000000;-51,285899999990;0
"Ipiranga do Sul";4310462;-27,940400000000;-52,427100000000;1
Iraí;4310504;-27,195100000000;-53,254300000000;12
Itaara;4310538;-29,601299999990;-53,772500000000;5
Itacurubi;4310553;-28,791300000000;-55,244700000000;0
Itapuca;4310579;-28,776800000000;-52,169300000000;0
Itaqui;4310603;-29,131000000000;-56,551499999990;14
Itati;4310652;-29,488320000000;-50,113579999990;0
"Itatiba do Sul";4310702;-27,384599999990;-52,453800000000;0
Ivorá;4310751;-29,523199999990;-53,584200000000;0
Ivoti;4310801;-29,599499999990;-51,153300000000;31
Jaboticaba;4310850;-27,634699999990;-53,276200000000;0
Jacuizinho;4310876;-29,021999999990;-53,053699999990;0
Jacutinga;4310900;-27,729099999990;-52,537199999990;0
Jaguarão;4311007;-32,560400000000;-53,377000000000;46
Jaguari;4311106;-29,493600000000;-54,703000000000;0
Jaquirana;4311122;-28,881100000000;-50,363700000000;0
Jari;4311130;-29,292200000000;-54,223700000000;0
Jóia;4311155;-28,643500000000;-54,114100000000;0
"Júlio de Castilhos";4311205;-29,229800000000;-53,677199999990;5
"Lagoa Bonita do Sul";4311239;-29,488199999990;-53,013800000000;0
"Lagoa dos Três Cantos";4311270;-28,567599999990;-52,861800000000;0
"Lagoa Vermelha";4311304;-28,209299999990;-51,524799999990;16
Lagoão;4311254;-29,234800000000;-52,799700000000;0
Lajeado;4311403;-29,459099999990;-51,964399999990;123
"Lajeado do Bugre";4311429;-27,691299999990;-53,181800000000;0
"Lavras do Sul";4311502;-30,807099999990;-53,893099999990;1
"Liberato Salzano";4311601;-27,600999999990;-53,075299999990;0
"Lindolfo Collor";4311627;-29,585899999990;-51,214100000000;0
"Linha Nova";4311643;-29,467900000000;-51,200299999990;0
Maçambará;4311718;-29,144500000000;-56,067399999990;0
Machadinho;4311700;-27,566700000000;-51,666800000000;1
Mampituba;4311734;-29,213600000000;-49,931100000000;0
"Manoel Viana";4311759;-29,585899999990;-55,484099999990;0
Maquiné;4311775;-29,679800000000;-50,207900000000;4
Maratá;4311791;-29,545700000000;-51,557299999990;0
Marau;4311809;-28,449800000000;-52,198599999990;28
"Marcelino Ramos";4311908;-27,467600000000;-51,909500000000;0
"Mariana Pimentel";4311981;-30,353100000000;-51,580300000000;0
"Mariano Moro";4312005;-27,356800000000;-52,146700000000;0
"Marques de Souza";4312054;-29,331099999990;-52,097299999990;1
Mata;4312104;-29,564900000000;-54,464100000000;0
"Mato Castelhano";4312138;-28,280000000000;-52,193199999990;0
"Mato Leitão";4312153;-29,528500000000;-52,127800000000;1
"Mato Queimado";4312179;-28,247500000000;-54,619199999990;0
"Maximiliano de Almeida";4312203;-27,632500000000;-51,802100000000;0
"Minas do Leão";4312252;-30,134599999990;-52,042299999990;0
Miraguaí;4312302;-27,497000000000;-53,689100000000;0
Montauri;4312351;-28,646200000000;-52,076700000000;0
"Monte Alegre dos Campos";4312377;-28,680499999990;-50,783400000000;0
"Monte Belo do Sul";4312385;-29,160699999990;-51,633299999990;0
Montenegro;4312401;-29,682400000000;-51,467900000000;52
Mormaço;4312427;-28,696800000000;-52,699900000000;0
"Morrinhos do Sul";4312443;-29,357800000000;-49,932800000000;0
"Morro Redondo";4312450;-31,588699999990;-52,626100000000;0
