variavel: 17.Saúde humana e serviços sociais
caminho: /Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/17.Saúde humana e serviços sociais
fonte: Relação Anual de Informações Sociais
agrupador: Município
descricao: 
Município;ibge;latitude;longitude;"2018 (-)"
"Tiradentes do Sul";4321477;-27,402200000000;-54,081400000000;4
Toropi;4321493;-29,478200000000;-54,224400000000;0
Torres;4321501;-29,333400000000;-49,733300000000;1.042
Tramandaí;4321600;-29,984100000000;-50,132199999990;742
Travesseiro;4321626;-29,297699999990;-52,053199999990;1
"Três Arroios";4321634;-27,500299999990;-52,144799999990;21
"Três Cachoeiras";4321667;-29,448699999990;-49,927500000000;20
"Três Coroas";4321709;-29,513700000000;-50,773899999990;161
"Três de Maio";4321808;-27,780000000000;-54,235700000000;293
"Três Forquilhas";4321832;-29,538399999990;-50,070799999990;3
"Três Palmeiras";4321857;-27,613900000000;-52,843699999990;4
"Três Passos";4321907;-27,455500000000;-53,929600000000;435
"Trindade do Sul";4321956;-27,523900000000;-52,895600000000;29
Triunfo;4322004;-29,929099999990;-51,707500000000;166
Tucunduva;4322103;-27,657299999990;-54,443899999990;44
Tunas;4322152;-29,103899999990;-52,953800000000;1
"Tupanci do Sul";4322186;-27,924099999990;-51,538300000000;0
Tupanciretã;4322202;-29,085799999990;-53,844499999990;100
Tupandi;4322251;-29,477200000000;-51,417400000000;1
Tuparendi;4322301;-27,759799999990;-54,481400000000;67
Turuçu;4322327;-31,417300000000;-52,170600000000;1
Ubiretama;4322343;-28,040400000000;-54,685899999990;0
"União da Serra";4322350;-28,783300000000;-52,023800000000;0
Unistalda;4322376;-29,039999999990;-55,151699999990;0
Uruguaiana;4322400;-29,761399999990;-57,085299999990;1.038
Vacaria;4322509;-28,507899999990;-50,941800000000;599
"Vale do Sol";4322533;-29,596699999990;-52,683900000000;39
"Vale Real";4322541;-29,391900000000;-51,255899999990;4
"Vale Verde";4322525;-29,786400000000;-52,185699999990;0
Vanini;4322558;-28,475800000000;-51,844700000000;2
"Venâncio Aires";4322608;-29,614300000000;-52,193199999990;726
"Vera Cruz";4322707;-29,718399999990;-52,515200000000;86
Veranópolis;4322806;-28,931200000000;-51,551600000000;273
"Vespasiano Correa";4322855;-29,065500000000;-51,862500000000;0
Viadutos;4322905;-27,571600000000;-52,021099999990;37
Viamão;4323002;-30,081900000000;-51,019399999990;1.407
"Vicente Dutra";4323101;-27,160799999990;-53,402200000000;2
"Victor Graeff";4323200;-28,563199999990;-52,749499999990;2
"Vila Flores";4323309;-28,859800000000;-51,550400000000;0
"Vila Lângaro";4323358;-28,106200000000;-52,143799999990;0
"Vila Maria";4323408;-28,535900000000;-52,148699999990;16
"Vila Nova do Sul";4323457;-30,346100000000;-53,875999999990;3
"Vista Alegre";4323507;-27,368600000000;-53,491900000000;2
"Vista Alegre do Prata";4323606;-28,805199999990;-51,794600000000;0
"Vista Gaúcha";4323705;-27,290199999990;-53,697400000000;15
"Vitória das Missões";4323754;-28,351600000000;-54,503999999990;4
Westfalia;4323770;-29,374400000000;-51,746299999990;2
Xangri-lá;4323804;-29,806500000000;-50,051900000000;19
